character,character_normalized,dialogue,context,character_state,dialogue_type,motivation,line_number,scene,movie,word_count,sentiment
CLOSE-UP,Close-Up,CABLE RELEASE on back of the speeder as it snaps,General conversation,Neutral,Statement,Conversational,1050,Unknown,The Empire Strikes Back,10,neutral
FULL,Full,SHOT OF THE SPEEDER zooming over camera and away into,General conversation,Neutral,Statement,Conversational,1052,Unknown,The Empire Strikes Back,10,neutral
EXT,Ext,BATTLEFIELD – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1054,Unknown,The Empire Strikes Back,3,neutral
MED,Med,SHOT of the tangled legs and feet of Walker No. 3 coming to,General conversation,Resistant/Negative,Statement,Opposing,1055,Unknown,The Empire Strikes Back,13,negative
EXTREME,Extreme,LONG SHOT OF WALKER NO. 3 through the legs of a,General conversation,Resistant/Negative,Statement,Opposing,1058,Unknown,The Empire Strikes Back,11,negative
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1061,Unknown,The Empire Strikes Back,2,neutral
CLOSE,Close,FULL SHOT of Walker No. 3 coming to camera crashing into,General conversation,Resistant/Negative,Statement,Opposing,1062,Unknown,The Empire Strikes Back,11,negative
SNOWSPEEDER,Snowspeeder,– ROGUE LEADER,General conversation,Urgent/Commanding,Exclamation,Assertive,1064,Unknown,The Empire Strikes Back,3,neutral
CLOSE-UP,Close-Up,LUKE FRONT with twisting horizon background.,General conversation,Neutral,Statement,Conversational,1065,Unknown,The Empire Strikes Back,6,neutral
WEDGE,Wedge Antilles,"(VO) Rogue Leader… One down, Luke.",General conversation,Neutral,Statement,Conversational,1066,Unknown,The Empire Strikes Back,6,neutral
LUKE,Luke Skywalker,I see it Wedge… good work. 141. EXT ICE PLAIN – SNOW,"Jedi training, heroic journey",Resistant/Negative,Statement,Opposing,1067,Unknown,The Empire Strikes Back,12,negative
TRENCH,Trench,– GUN TOWERS,General conversation,Urgent/Commanding,Exclamation,Assertive,1068,Unknown,The Empire Strikes Back,3,neutral
MED,Med,SHOT OF TROOPS in the trenches cheering at the fallen,General conversation,Neutral,Statement,Conversational,1069,Unknown,The Empire Strikes Back,10,neutral
GENERATORS,Generators,– GUN TOWERS,General conversation,Urgent/Commanding,Exclamation,Assertive,1073,Unknown,The Empire Strikes Back,3,neutral
FULL,Full,SHOT of the troops jumping out of the trenches running to,General conversation,Neutral,Statement,Conversational,1074,Unknown,The Empire Strikes Back,11,neutral
EXT,Ext,EXT BATTLEFIELD – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1076,Unknown,The Empire Strikes Back,4,neutral
FULL,Full,SIDE TRUCKING SHOT of rebel troops running left to right as,General conversation,Positive/Agreeable,Statement,Supportive,1077,Unknown,The Empire Strikes Back,11,positive
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1079,Unknown,The Empire Strikes Back,2,neutral
FULL,Full,SHOT of downed Walker No. 3 as Imperial Snow,General conversation,Resistant/Negative,Statement,Opposing,1080,Unknown,The Empire Strikes Back,9,negative
CLOSER,Closer,ANGLE – Troops rush and fire at the fallen walker as a,General conversation,Neutral,Statement,Conversational,1085,Unknown,The Empire Strikes Back,12,neutral
FULL,Full,"SHOT of Luke and Rogue Two’s speeder flying in formation,",General conversation,Neutral,Statement,Conversational,1088,Unknown,The Empire Strikes Back,10,neutral
ROGUE,Rogue,LEADER,General conversation,Urgent/Commanding,Exclamation,Assertive,1091,Unknown,The Empire Strikes Back,1,neutral
CLOSE-UP,Close-Up,OF LUKE from the front. He looks over to Rogue Two on,General conversation,Neutral,Statement,Conversational,1092,Unknown,The Empire Strikes Back,12,neutral
LUKE,Luke Skywalker,"Steady, Rogue Two, I’ll cover for you. 148. INT ZEV’S","Jedi training, heroic journey",Neutral,Statement,Conversational,1095,Unknown,The Empire Strikes Back,10,neutral
SNOWSPEEDER,Snowspeeder,– ROGUE TWO,General conversation,Urgent/Commanding,Exclamation,Assertive,1096,Unknown,The Empire Strikes Back,3,neutral
SIDE,Side,CLOSE-UP ANGLE on Rogue Two. Luke’s speeder can be,General conversation,Neutral,Statement,Conversational,1097,Unknown,The Empire Strikes Back,9,neutral
ROGUE,Rogue,"TWO (ZEV) It’s no good, I can’t see.",General conversation,Resistant/Negative,Statement,Opposing,1100,Unknown,The Empire Strikes Back,8,negative
LUKE,Luke Skywalker,"(VO) Steady, just keep it steady.","Jedi training, heroic journey",Neutral,Statement,Conversational,1101,Unknown,The Empire Strikes Back,6,neutral
LUKE,Luke Skywalker,I’ll lead you in. 150. INT LUKE’S SNOWSPEEDER – ROGUE,"Jedi training, heroic journey",Resistant/Negative,Statement,Opposing,1106,Unknown,The Empire Strikes Back,10,negative
CLOSE-UP,Close-Up,"FRONT LUKE works his controls, as the ship shudders",General conversation,Neutral,Statement,Conversational,1108,Unknown,The Empire Strikes Back,9,neutral
LUKE,Luke Skywalker,Is your gunner alright?,"Jedi training, heroic journey",Inquisitive,Question,Seeking information,1110,Unknown,The Empire Strikes Back,4,neutral
ROGUE,Rogue,"TWO GUNNER (VO) I’m O.K., sir.",General conversation,Neutral,Statement,Conversational,1111,Unknown,The Empire Strikes Back,6,neutral
LUKE,Luke Skywalker,Just keep it steady. Don’t try to…,"Jedi training, heroic journey",Neutral,Statement,Conversational,1112,Unknown,The Empire Strikes Back,7,neutral
FULL,Full,SHOT of oncoming walkers in distance as Luke’s speeder,General conversation,Neutral,Statement,Conversational,1117,Unknown,The Empire Strikes Back,9,neutral
INT,Int,LUKE’S SNOWSPEEDER – ROGUE LEADER,General conversation,Urgent/Commanding,Exclamation,Assertive,1120,Unknown,The Empire Strikes Back,5,neutral
INT,Int,CLOSE-UP inside Luke’s cockpit as he struggles to get out. He,General conversation,Neutral,Statement,Conversational,1121,Unknown,The Empire Strikes Back,11,neutral
SNOWSPEEDER,Snowspeeder,– ROGUE LEADER,General conversation,Urgent/Commanding,Exclamation,Assertive,1123,Unknown,The Empire Strikes Back,3,neutral
CLOSE-UP,Close-Up,"FRONT Rogue Two, blood streaming down his face,",General conversation,Neutral,Statement,Conversational,1128,Unknown,The Empire Strikes Back,8,neutral
ROGUE,Rogue,"TWO (ZEV) Luke… What happened, I can’t…",General conversation,Neutral,Statement,Conversational,1130,Unknown,The Empire Strikes Back,7,neutral
FULL,Full,SIDE SHOT of Rogue Two’s speeder in a ball of flames going,General conversation,Neutral,Statement,Conversational,1133,Unknown,The Empire Strikes Back,12,neutral
SIDE,Side,ANGLE CLOSE-UP from inside the cockpit as Luke manages,General conversation,Neutral,Statement,Conversational,1135,Unknown,The Empire Strikes Back,9,neutral
EXTREME,Extreme,CLOSE-UP of giant walking foot as it comes crashing to,General conversation,Neutral,Statement,Conversational,1138,Unknown,The Empire Strikes Back,10,neutral
MED,Med,"FULL SHOT (looking back at Luke, away from walker) as Luke",General conversation,Neutral,Statement,Conversational,1141,Unknown,The Empire Strikes Back,11,neutral
EXTREME,Extreme,CLOSE-UP of the giant walker’s foot as it comes crashing,General conversation,Neutral,Statement,Conversational,1148,Unknown,The Empire Strikes Back,10,neutral
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1150,Unknown,The Empire Strikes Back,2,neutral
MED,Med,CLOSE-UP as Luke rummages through the smoldering speeder,General conversation,Neutral,Statement,Conversational,1151,Unknown,The Empire Strikes Back,8,neutral
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1156,Unknown,The Empire Strikes Back,2,neutral
CLOSE-UP,Close-Up,"of Luke outside the speeder as he searches the cockpit,",General conversation,Neutral,Statement,Conversational,1159,Unknown,The Empire Strikes Back,10,neutral
CLOSE-UP,Close-Up,Luke’s arm inside the speeder. He grabs a hold of a large,General conversation,Neutral,Statement,Conversational,1162,Unknown,The Empire Strikes Back,12,neutral
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1164,Unknown,The Empire Strikes Back,2,neutral
MED,Med,FULL SIDE VIEW as Luke pulls the landmine out of the cockpit,General conversation,Neutral,Statement,Conversational,1165,Unknown,The Empire Strikes Back,12,neutral
MED,Med,CLOSE-UP of Luke as he stumbles up out of the snow and runs,General conversation,Resistant/Negative,Statement,Opposing,1169,Unknown,The Empire Strikes Back,13,negative
CLOSE-UP,Close-Up,LUKE as walker foot raises in background. 167. EXT,General conversation,Neutral,Statement,Conversational,1173,Unknown,The Empire Strikes Back,9,neutral
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1174,Unknown,The Empire Strikes Back,2,neutral
MED,Med,PAN PAST the back legs of Walker No. 2 following Luke as he,General conversation,Resistant/Negative,Statement,Opposing,1175,Unknown,The Empire Strikes Back,13,negative
CLOSE-UP,Close-Up,OF MAGNETIC head and cable attaching itself on the,General conversation,Neutral,Statement,Conversational,1180,Unknown,The Empire Strikes Back,9,neutral
MED,Med,SHOT of Luke running and climbing up the cable. The second,General conversation,Neutral,Statement,Conversational,1183,Unknown,The Empire Strikes Back,11,neutral
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1185,Unknown,The Empire Strikes Back,2,neutral
EXTREME,Extreme,LONG SHOT of Luke dangling from the underbelly of,General conversation,Neutral,Statement,Conversational,1186,Unknown,The Empire Strikes Back,9,neutral
MED,Med,CLOSE-UP of Luke climbing the cable to the underbelly of,General conversation,Neutral,Statement,Conversational,1189,Unknown,The Empire Strikes Back,10,neutral
HIGH,High,ANGLE LOOKING down at Luke as he climbs the cable into a,General conversation,Neutral,Statement,Conversational,1193,Unknown,The Empire Strikes Back,12,neutral
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1196,Unknown,The Empire Strikes Back,2,neutral
MED,Med,"SIDE SHOT of Luke as he reaches the hull of Walker No. 2,",General conversation,Resistant/Negative,Statement,Opposing,1197,Unknown,The Empire Strikes Back,13,negative
CLOSE,Close,SIDE ANGLE of Luke taking the landmine from around his,General conversation,Neutral,Statement,Conversational,1200,Unknown,The Empire Strikes Back,10,neutral
LOW,Low,ANGLE looking up at Walker No. 2 as Luke slides down the,General conversation,Resistant/Negative,Statement,Opposing,1203,Unknown,The Empire Strikes Back,12,negative
SIDE,Side,"MED SHOT of Luke falling, then drops out of the frame. 177.",General conversation,Neutral,Statement,Conversational,1205,Unknown,The Empire Strikes Back,12,neutral
EXT,Ext,BATTLEFIELD – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1206,Unknown,The Empire Strikes Back,3,neutral
THREEPIO,C-3PO,I’m afraid he’s no longer functioning.,"Protocol droid formality, worry",Resistant/Negative,Statement,Opposing,1218,Unknown,The Empire Strikes Back,6,negative
CONTROLLER,Controller,(urgent) The last transport is waiting.,General conversation,Neutral,Statement,Conversational,1221,Unknown,The Empire Strikes Back,6,neutral
THREEPIO,C-3PO,"Beg your pardon, ma’am, but our possible avenues of","Protocol droid formality, worry",Neutral,Statement,Conversational,1223,Unknown,The Empire Strikes Back,9,neutral
LEIA,Princess Leia,"Tell the ship we’re on our way, and signal the troops in the field","Rebel leadership, royal dignity",Neutral,Statement,Conversational,1227,Unknown,The Empire Strikes Back,14,neutral
HAN,Han Solo,… I heard on the com-link the command station was destroyed.,"Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1235,Unknown,The Empire Strikes Back,11,neutral
HAN,Han Solo,"This all that’s left of your unit? You’d better hurry, the transport’s","Smuggler confidence, roguish charm",Inquisitive,Question,Seeking information,1239,Unknown,The Empire Strikes Back,12,neutral
HAN,Han Solo,That way is going to take too long. Let’s go through these,"Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1246,Unknown,The Empire Strikes Back,12,neutral
HAN,Han Solo,Hey! Someone’s still in here.,"Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1249,Unknown,The Empire Strikes Back,5,neutral
LEIA,Princess Leia,"Wait, don’t open it… that’s one of the traps for the ice creatures.","Rebel leadership, royal dignity",Neutral,Statement,Conversational,1250,Unknown,The Empire Strikes Back,13,neutral
THREEPIO,C-3PO,"Oh my, there must be a hundred of them in there.","Protocol droid formality, worry",Neutral,Statement,Conversational,1252,Unknown,The Empire Strikes Back,11,neutral
CAPTAIN,Captain,I don’t know if there’s anyone left alive in there. Give it one,General conversation,Resistant/Negative,Statement,Opposing,1256,Unknown,The Empire Strikes Back,13,negative
HAN,Han Solo,"Hello, XJ! They’re coming now…","Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1260,Unknown,The Empire Strikes Back,5,neutral
HAN,Han Solo,Transport XJ. get out of here. Go!,"Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1266,Unknown,The Empire Strikes Back,7,neutral
THREEPIO,C-3PO,The energy shield is down. We’ll be stuck here,"Protocol droid formality, worry",Neutral,Statement,Conversational,1267,Unknown,The Empire Strikes Back,9,neutral
REBEL,Rebel,GUN EMPLACEMENT – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1271,Unknown,The Empire Strikes Back,4,neutral
EXT,Ext,REBEL GUN EMPLACEMENT,General conversation,Urgent/Commanding,Exclamation,Assertive,1273,Unknown,The Empire Strikes Back,3,neutral
COM-LINK,Com-Link,Disengage – Disengage – Ships away. Begin retreat,General conversation,Neutral,Statement,Conversational,1276,Unknown,The Empire Strikes Back,8,neutral
LOW,Low,ANGLE MEDIUM SHOT of Walker No. 1 as it advances at,General conversation,Resistant/Negative,Statement,Opposing,1280,Unknown,The Empire Strikes Back,11,negative
IMPERIAL,Imperial,WALKER NO. 1 – COCKPIT,General conversation,Urgent/Commanding,Exclamation,Assertive,1283,Unknown,The Empire Strikes Back,5,neutral
CLOSE,Close,over the shoulder of walker pilot. POV of rebel troops and,General conversation,Neutral,Statement,Conversational,1284,Unknown,The Empire Strikes Back,11,neutral
WALKER,Walker,NO. 1 – COCKPIT,General conversation,Urgent/Commanding,Exclamation,Assertive,1286,Unknown,The Empire Strikes Back,4,neutral
REVERSE,Reverse,CLOSE-UP of Veers as he studies various readouts.,General conversation,Neutral,Statement,Conversational,1287,Unknown,The Empire Strikes Back,8,neutral
PILOT,Pilot,All resistance is fading.,General conversation,Neutral,Statement,Conversational,1288,Unknown,The Empire Strikes Back,4,neutral
VEERS,General Veers,"Good, we have them now. Prepare to target the main",General conversation,Resistant/Negative,Statement,Opposing,1289,Unknown,The Empire Strikes Back,10,negative
MED,Med,SHOT – Rebel troops retreat under the onslaught. 190. EXT,General conversation,Neutral,Statement,Conversational,1291,Unknown,The Empire Strikes Back,10,neutral
REBEL,Rebel,GUN EMPLACEMENT – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1292,Unknown,The Empire Strikes Back,4,neutral
ANOTHER,Another,ANGLE – Rebel troops retreat as a walker looms in the,General conversation,Neutral,Statement,Conversational,1293,Unknown,The Empire Strikes Back,11,neutral
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1295,Unknown,The Empire Strikes Back,2,neutral
HIGH,High,ANGLE of troops fleeing and firing back toward camera. 192.,General conversation,Neutral,Statement,Conversational,1296,Unknown,The Empire Strikes Back,10,neutral
EXT,Ext,BATTLEFIELD – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1297,Unknown,The Empire Strikes Back,3,neutral
LOW,Low,ANGLE FULL SHOT of three of the giant walkers advancing to,General conversation,Neutral,Statement,Conversational,1298,Unknown,The Empire Strikes Back,11,neutral
BACK,Back,"CLOSE-UP of guns on walker-head, firing. 194. EXT",General conversation,Neutral,Statement,Conversational,1302,Unknown,The Empire Strikes Back,8,neutral
BATTLEFIELD,Battlefield,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1303,Unknown,The Empire Strikes Back,2,neutral
MED,Med,"BEHIND TROOPS fleeing over camera, the ground explodes",General conversation,Neutral,Statement,Conversational,1304,Unknown,The Empire Strikes Back,8,neutral
CLOSE-UP,Close-Up,VEERS inside Walker No. 1 cockpit. He speaks over the,General conversation,Resistant/Negative,Statement,Opposing,1306,Unknown,The Empire Strikes Back,10,negative
VEERS,General Veers,"… yes, Lord Vader. I’ve reached the main power generators",General conversation,Positive/Agreeable,Statement,Supportive,1308,Unknown,The Empire Strikes Back,10,positive
PILOT,Pilot,Look out!,General conversation,Urgent/Commanding,Exclamation,Assertive,1311,Unknown,The Empire Strikes Back,2,neutral
FULL,Full,"SHOT of Hobbie’s speeder, Rogue Four, as it races over",General conversation,Neutral,Statement,Conversational,1314,Unknown,The Empire Strikes Back,10,neutral
OVER,Over,THE SHOULDER of Veers and his pilots as the speeder,General conversation,Neutral,Statement,Conversational,1317,Unknown,The Empire Strikes Back,10,neutral
PILOT,Pilot,He’s going to…,General conversation,Neutral,Statement,Conversational,1319,Unknown,The Empire Strikes Back,3,neutral
FULL,Full,SHOT of Walker No. 1 with head exploding and frying into a,General conversation,Resistant/Negative,Statement,Opposing,1321,Unknown,The Empire Strikes Back,12,negative
FULL,Full,SHOT Walker No. 1. After a few moments the headless walker,General conversation,Resistant/Negative,Statement,Opposing,1323,Unknown,The Empire Strikes Back,11,negative
SNOWDRIFT,Snowdrift,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1330,Unknown,The Empire Strikes Back,2,neutral
COM-LINK,Com-Link,… ships away. Begin retreat action. All troops begin,General conversation,Neutral,Statement,Conversational,1333,Unknown,The Empire Strikes Back,9,neutral
HAN,Han Solo,I know… I know. It’s not good. But cheer up… one way or,"Smuggler confidence, roguish charm",Resistant/Negative,Statement,Opposing,1353,Unknown,The Empire Strikes Back,13,negative
CORRIDOR,Corridor,– REBEL BASE – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1355,Unknown,The Empire Strikes Back,5,neutral
INT,Int,MAIN HOLD MILLENNIUM FALCON – MAIN HANGAR – HOTH.,General conversation,Urgent/Commanding,Exclamation,Assertive,1360,Unknown,The Empire Strikes Back,9,neutral
HAN,Han Solo,"How’s that, Chewie?","Smuggler confidence, roguish charm",Inquisitive,Question,Seeking information,1364,Unknown,The Empire Strikes Back,3,neutral
LEIA,Princess Leia,Would it help if I got out and pushed?,"Rebel leadership, royal dignity",Inquisitive,Question,Seeking information,1366,Unknown,The Empire Strikes Back,9,neutral
HAN,Han Solo,"Don’t worry, your holiness, I’ll get her started.","Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1367,Unknown,The Empire Strikes Back,8,neutral
THREEPIO,C-3PO,"Sir, I was wondering if I might… [Han gives the gold robot","Protocol droid formality, worry",Neutral,Statement,Conversational,1369,Unknown,The Empire Strikes Back,12,neutral
THREEPIO,C-3PO,(Continued) It can wait,"Protocol droid formality, worry",Neutral,Statement,Conversational,1371,Unknown,The Empire Strikes Back,4,neutral
LEIA,Princess Leia,This bucket of bolts is never going to get us past that blockade.,"Rebel leadership, royal dignity",Resistant/Negative,Statement,Opposing,1373,Unknown,The Empire Strikes Back,13,negative
HAN,Han Solo,This baby’s got a few surprises left in her.,"Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1374,Unknown,The Empire Strikes Back,9,neutral
LEIA,Princess Leia,I’ll be surprised if we ever start moving.,"Rebel leadership, royal dignity",Neutral,Statement,Conversational,1375,Unknown,The Empire Strikes Back,8,neutral
HANGAR,Hangar,– HOTH.,"Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1378,Unknown,The Empire Strikes Back,2,neutral
SIDE,Side,VIEW – Han and Chewie look out the window and see a squad,General conversation,Neutral,Statement,Conversational,1379,Unknown,The Empire Strikes Back,13,neutral
HAN,Han Solo,"Well, I’ve tried everything, Chewie… You’ll just have to switch","Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1382,Unknown,The Empire Strikes Back,10,neutral
LEIA,Princess Leia,"Someday you’re going to be wrong, and I just hope I’m there to","Rebel leadership, royal dignity",Neutral,Statement,Conversational,1388,Unknown,The Empire Strikes Back,13,neutral
HAN,Han Solo,Punch it!,"Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1391,Unknown,The Empire Strikes Back,2,neutral
FALCON,Falcon,– MAIN HANGAR – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1399,Unknown,The Empire Strikes Back,5,neutral
FALCON,Falcon,– MAIN HANGAR – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1401,Unknown,The Empire Strikes Back,5,neutral
HANGAR,Hangar,– HOTH,"Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1407,Unknown,The Empire Strikes Back,2,neutral
HAN,Han Solo,"We’ll just have to switch over, and hope for the best.","Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1409,Unknown,The Empire Strikes Back,11,neutral
LEIA,Princess Leia,"Someday you’re going to be wrong, and I just hope I’m there to","Rebel leadership, royal dignity",Neutral,Statement,Conversational,1413,Unknown,The Empire Strikes Back,13,neutral
HAN,Han Solo,Punch it!,"Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1416,Unknown,The Empire Strikes Back,2,neutral
ICE,Ice,SLOPE – MILLENNIUM FALCON – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1425,Unknown,The Empire Strikes Back,6,neutral
FULL,Full,SHOT of Luke and two other pilots looking up in the snowstorm,General conversation,Resistant/Negative,Statement,Opposing,1426,Unknown,The Empire Strikes Back,12,negative
OVER,Over,ICE SLOPE – HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1429,Unknown,The Empire Strikes Back,4,neutral
LUKE,Luke Skywalker,"There goes the Falcon. At least Han got away. Wedge, that","Jedi training, heroic journey",Neutral,Statement,Conversational,1434,Unknown,The Empire Strikes Back,11,neutral
WEDGE,Wedge Antilles,"Right. Good luck, Luke.",General conversation,Positive/Agreeable,Statement,Supportive,1436,Unknown,The Empire Strikes Back,4,positive
LUKE,Luke Skywalker,"Artoo, is that you?!","Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,1440,Unknown,The Empire Strikes Back,4,neutral
LUKE,Luke Skywalker,"Don’t worry, we’ll be airborne in a second. Open the cockpit","Jedi training, heroic journey",Neutral,Statement,Conversational,1444,Unknown,The Empire Strikes Back,11,neutral
BASE,Base,– HOTH,General conversation,Urgent/Commanding,Exclamation,Assertive,1446,Unknown,The Empire Strikes Back,2,neutral
PIETT,Admiral Piett,"Seventeen ships destroyed, we don’t know how many got",General conversation,Resistant/Negative,Statement,Opposing,1450,Unknown,The Empire Strikes Back,9,negative
VADER,Darth Vader,Anything on the Millennium Falcon?,"Dark Side presence, Imperial authority",Inquisitive,Question,Seeking information,1452,Unknown,The Empire Strikes Back,5,neutral
PIETT,Admiral Piett,It won’t get through the blockade.,General conversation,Neutral,Statement,Conversational,1453,Unknown,The Empire Strikes Back,6,neutral
VADER,Darth Vader,I want that ship. 212. EXT MILLENNIUM FALCON – TIE,"Dark Side presence, Imperial authority",Neutral,Statement,Conversational,1454,Unknown,The Empire Strikes Back,10,neutral
FIGHTER,Fighter,– STAR DESTROYER – SPACE,General conversation,Urgent/Commanding,Exclamation,Assertive,1455,Unknown,The Empire Strikes Back,5,neutral
FULL,Full,"SHOT, SPACE, with the white planet of Hoth in the lower part",General conversation,Neutral,Statement,Conversational,1456,Unknown,The Empire Strikes Back,12,neutral
MILLENNIUM,Millennium,FALCON – TIE FIGHTERS – STAR DESTROYER –,General conversation,Urgent/Commanding,Exclamation,Assertive,1461,Unknown,The Empire Strikes Back,8,neutral
FULL,Full,"SHOT, SPACE. The Falcon races low over camera toward two",General conversation,Neutral,Statement,Conversational,1463,Unknown,The Empire Strikes Back,10,neutral
COCKPIT,Cockpit,– MILLENNIUM FALCON – SPACE,General conversation,Urgent/Commanding,Exclamation,Assertive,1466,Unknown,The Empire Strikes Back,5,neutral
OVERSHOULDER,Overshoulder,HAN AND CHEWIE. Inside the cockpit Chewie,General conversation,Neutral,Statement,Conversational,1467,Unknown,The Empire Strikes Back,7,neutral
HAN,Han Solo,"(harried) I know, I know, I see them…","Smuggler confidence, roguish charm",Resistant/Negative,Statement,Opposing,1471,Unknown,The Empire Strikes Back,8,negative
LEIA,Princess Leia,See what?,"Rebel leadership, royal dignity",Inquisitive,Question,Seeking information,1472,Unknown,The Empire Strikes Back,2,neutral
HAN,Han Solo,Two more Star Destroyers heading right at us.,"Smuggler confidence, roguish charm",Positive/Agreeable,Statement,Supportive,1473,Unknown,The Empire Strikes Back,8,positive
LEIA,Princess Leia,"I’m glad you said there was going to be no problem, or I’d be","Rebel leadership, royal dignity",Resistant/Negative,Statement,Opposing,1474,Unknown,The Empire Strikes Back,14,negative
THREEPIO,C-3PO,"Sir, I was wondering…","Protocol droid formality, worry",Neutral,Statement,Conversational,1477,Unknown,The Empire Strikes Back,4,neutral
HAN,Han Solo,"Sit down, and shut up!","Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1478,Unknown,The Empire Strikes Back,5,neutral
THREEPIO,C-3PO,It can wait. 215. INT COCKPIT MILLENNIUM FALCON –,"Protocol droid formality, worry",Neutral,Statement,Conversational,1479,Unknown,The Empire Strikes Back,9,neutral
FULL,Full,SHOT INT MILLENNIUM FALCON. POV out window at two,General conversation,Neutral,Statement,Conversational,1481,Unknown,The Empire Strikes Back,9,neutral
HAN,Han Solo,"Chewie, how’s the deflector shield holding up?","Smuggler confidence, roguish charm",Inquisitive,Question,Seeking information,1486,Unknown,The Empire Strikes Back,7,neutral
HAN,Han Solo,"Good… at sub-light, they may be faster, but we can still","Smuggler confidence, roguish charm",Positive/Agreeable,Statement,Supportive,1488,Unknown,The Empire Strikes Back,11,positive
FALCON,Falcon,– SPACE,General conversation,Urgent/Commanding,Exclamation,Assertive,1490,Unknown,The Empire Strikes Back,2,neutral
CLOSE,Close,POV – out the Falcon cockpit window as the stars and,General conversation,Neutral,Statement,Conversational,1491,Unknown,The Empire Strikes Back,11,neutral
DESTROYERS,Destroyers,– SPACE,General conversation,Urgent/Commanding,Exclamation,Assertive,1496,Unknown,The Empire Strikes Back,2,neutral
FULL,Full,SHOT underneath one of the huge oncoming Star Destroyers,General conversation,Neutral,Statement,Conversational,1497,Unknown,The Empire Strikes Back,9,neutral
DESTROYERS,Destroyers,– SPACE,General conversation,Urgent/Commanding,Exclamation,Assertive,1502,Unknown,The Empire Strikes Back,2,neutral
DESTROYER,Destroyer,NO. 2 BRIDGE – SPACE,General conversation,Urgent/Commanding,Exclamation,Assertive,1505,Unknown,The Empire Strikes Back,5,neutral
INT,Int,IMPERIAL STAR DESTROYER – Out the front window the two,General conversation,Neutral,Statement,Conversational,1506,Unknown,The Empire Strikes Back,10,neutral
CAPTAIN,Captain,NEEDA Turn it! Turn it! 220. EXT SPACE – MILLENNIUM,General conversation,Urgent/Commanding,Exclamation,Assertive,1511,Unknown,The Empire Strikes Back,10,neutral
FALCON,Falcon,– TIE FIGHTERS,General conversation,Urgent/Commanding,Exclamation,Assertive,1512,Unknown,The Empire Strikes Back,3,neutral
FULL,Full,"SHOT, SPACE – The Millennium Falcon races to camera",General conversation,Neutral,Statement,Conversational,1513,Unknown,The Empire Strikes Back,9,neutral
MILLENNIUM,Millennium,FALCON – SPACE,General conversation,Urgent/Commanding,Exclamation,Assertive,1515,Unknown,The Empire Strikes Back,3,neutral
HAN,Han Solo,That slowed them down a bit. Chewie stand by to make the,"Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1519,Unknown,The Empire Strikes Back,12,neutral
LEIA,Princess Leia,They’re getting awfully close…,"Rebel leadership, royal dignity",Neutral,Statement,Conversational,1522,Unknown,The Empire Strikes Back,4,neutral
